listing_id,average
50032,725.0
115936,525.0
475259,506.896551724138
743211,569.98502994012
1214214,521.428571428571
1810397,800.0
1966195,519.0
2214923,514.581395348837
2277821,608.68023255814
2649521,600.0
2881388,671.19877675841
3351728,819.111111111111
3415245,742.647058823529
3673688,699.0
3881993,508.104395604396
4090224,545.134693877551
4812786,564.301369863014
5088560,609.068965517241
5690424,697.641196013289
5783197,617.824773413897
5919529,634.357142857143
6066455,648.141993957704
6326257,506.732352941176
6444138,512.837209302326
6544715,672.196428571429
6844012,647.735042735043
6972426,575.0
7109689,600.0
7134081,698.302670623145
7527149,627.291021671827
7618925,601.891891891892
7740592,705.21978021978
9231486,500.187134502924
9862792,540.516339869281
10036192,712.312328767123
10051842,648.548387096774
10052037,553.709401709402
10052445,524.585585585586
10052622,551.982905982906
10052824,618.62962962963
10052920,528.145299145299
10053032,525.283185840708
10053454,553.709401709402
10053549,553.709401709402
10053928,553.709401709402
10136854,553.709401709402
10153536,553.709401709402
10153739,553.709401709402
10228764,553.709401709402
10857914,653.265306122449
11122394,529.781879194631
11521541,680.0
11563716,578.722222222222
11734812,505.861313868613
11735784,502.602941176471
11970702,700.0
12184433,999.0
13004551,529.0
13060113,539.876404494382
13190410,533.898305084746
13445221,563.171428571429
13606268,690.057534246575
13918656,531.461318051576
13995573,521.380952380952
14035936,600.0
14463855,568.807692307692
14744740,576.558139534884
14813006,584.06528189911
